,address,store,number,geometry.type,longtitude,latitude
150,"46 Mulberry St
New York, NY 10013",Mama Eatery,77,Point,-73.9994621,40.715022
151,"618 4th Ave
Brooklyn, NY 11215",Bread & Joe,76,Point,-73.993832,40.664853
152,"Located in
New World Mall Food Court",Gong Cha,76,Point,-73.82905749999999,40.7593729
153,"7202 New Utrecht Ave
Brooklyn, NY 11228",Tea & Burger,76,Point,-73.9995539,40.6182063
154,"271-16 Union Tpke
New Hyde Park, NY 11040",efresh,76,Point,-73.7023873,40.7518508
155,"2174 86th St
Brooklyn, NY 11214",Kung Fu Tea,76,Point,-73.99437759999999,40.6019865
156,"40 Hoyt St
Brooklyn, NY 11201",Kung Fu Tea,76,Point,-73.9859812,40.6894508
157,"496 Main St
New Rochelle, NY 10801",Korean BBQ Grill,76,Point,-73.7812781,40.9089481
158,"18204 Horace Harding Expy
Fresh Meadows, NY 11365",Iris Tea & Bakery,75,Point,-73.79157219999999,40.7389789
159,"41-31 Queens Blvd
Sunnyside, NY 11104",Caffebene,75,Point,-73.9225332,40.7439419
160,"80-62 Lefferts Blvd
Kew Gardens, NY 11415",Mr.Wish,75,Point,-73.83005709999999,40.7093256
161,"5 Saint Marks Pl
New York, NY 10003",Spot Dessert Bar,74,Point,-73.9893159,40.7294544
162,"2667 Broadway
New York, NY 10025",Shiny Tea,72,Point,-73.9694954,40.7983067
163,"12 Chatham Sq
New York, NY 10038",Audrey Bakery & Cafe,72,Point,-73.9979074,40.7141309
164,"2W 32nd St
New York, NY 10001",Koku Ramen,72,Point,-73.9861468,40.747272
165,"70-23 Austin St
Forest Hills, NY 11375",T-Swirl Crêpe,71,Point,-73.84617999999999,40.7208604
166,"482 5th Ave
New York, NY 11215",Pearl Gate,71,Point,-73.98758149999999,40.6679562
167,"1422 Ave U
Brooklyn, NY 11229",Kung Fu Tea,69,Point,-73.9565322,40.5985988
168,"30 Mott St
New York, NY 10013",Silk Road Cafe,69,Point,-73.9985581,40.71471529999999
169,"2309 Astoria Blvd
Astoria, NY 11102",Infinitea NY,69,Point,-73.9238347,40.7717804
170,"8306 Broadway
Elmhurst, NY 11373",Quickly,67,Point,-73.8799365,40.7407821
171,"42-02 30th Ave
Astoria, NY 11103",Brother Crêpe,67,Point,-73.9133542,40.7629663
172,"358 W 47th St
New York, NY 10036",UT47,66,Point,-73.9899701,40.7613253
173,"1219 1st Ave
New York, NY 10065",Kung Fu Tea,66,Point,-73.9590391,40.764001
174,"6307 18th Ave
Brooklyn, NY 11204",Caffe Bene,65,Point,-73.98899449999999,40.619959
175,"11 West 32nd St
Stall 9
New York, NY 10001",Kung Fu Tea,63,Point,-73.9861939,40.7477348
176,"724 10th Ave
New York, NY 10019",Desi Deli Indian Restaurant,63,Point,-73.9917492,40.7642693
177,"2661 A Broadway
Manhattan, NY 10025",Cool Fresh Juice Bar,62,Point,-73.9696649,40.79812889999999
178,"158-07 Northern Blvd
Flushing, NY 11358",Cocohodo,62,Point,-73.80701309999999,40.7635384
179,"76-23 Woodside Ave
Elmhurst, NY 11377",Tea Cup Cafe,61,Point,-73.8882021,40.7436819
180,"26 Rutgers St
New York, NY 10002",Mee Cafe,61,Point,-73.99022529999999,40.7130606
181,"314 New Dorp Ln
Staten Island, NY 10306",Something Sweet Homemade,61,Point,-74.1122276,40.5715583
182,"45-04 Queens Blvd
Sunnyside, NY 11104",Zen Yai Pho Shop & Coffee,61,Point,-73.91937229999999,40.7429529
183,"5920 Main St
Flushing, NY 11355",Tea Shop 168 & Bakery,60,Point,-73.8259278,40.7433057
184,"2039B Broadway
New York, NY 10023",Paris Baguette,60,Point,-73.9826008,40.7776667
185,"4910 Vernon Blvd
Long Island City, NY 11101",Something Sweet,59,Point,-73.9542362,40.7431559
186,"1384 Broadway
New York, NY 10018",CoCo Fresh Tea & Juice,58,Point,-73.98700699999999,40.75255200000001
187,"79-28 Metropolitan Ave
Middle Village, NY 11379",Taj Village,58,Point,-73.87245999999999,40.713021
188,"35-16 Ditmars Blvd
Astoria, NY 11105",Vivi Bubble Tea,57,Point,-73.9085709,40.7743944
189,"7211 18th Ave
Brooklyn, NY 11204",Just-Desserts,57,Point,-73.9943308,40.6146902
190,"61-05 Madison St
Ridgewood, NY 11385",The Spot,57,Point,-73.8970109,40.707344
191,"209 E 14th St
New York, NY 10003",Gong Cha,57,Point,-73.9862398,40.7332264
192,"2902 Ditmars Blvd
Astoria, NY 11105",Yogurt La Crepe,56,Point,-73.9117677,40.7765762
193,"81-21 Broadway
Elmhurst, NY 11373",Chatime,56,Point,-73.8830931,40.7432094
194,"1 Catherine St
New York, NY 10038",Gong Cha,55,Point,-73.99727969999999,40.7138763
195,"806 55th St
Brooklyn, NY 11220",Kung Fu Tea,55,Point,-74.0064287,40.6380465
196,"83-28 Broadway
Elmhurst, NY 11373",Vivi Bubble Tea,55,Point,-73.87936499999999,40.740297
197,"5323 7th Ave
Brooklyn, NY 11220",Formosa Cafe,55,Point,-74.0079895,40.64018189999999
198,"30-58 Steinway St
Astoria, NY 11103",Red Mango,55,Point,-73.9164157,40.7625789
199,"9711 64th Ave
Rego Park, NY 11374",Chatime Station,54,Point,-73.8602499,40.729951
200,"237 Flatbush Ave
Brooklyn, NY 11217",PokéBowl Station,53,Point,-73.9750004,40.6811056
201,"34 Eldridge St
New York, NY 10002",Formosa Cafe,53,Point,-73.9931533,40.7156264
202,"168-17 Union Tpke
Fresh Meadows, NY 11366",Sweet Cats Cafe,53,Point,-73.7997628,40.723335
203,"72 Bayard St
New York, NY 10013",Gong Cha,53,Point,-73.9982313,40.7157353
204,"181 E Broadway
Ste A
New York, NY 10002",Hawa Smoothies,53,Point,-73.9892294,40.7139592
